playerName,sport,position,realrating,,,,,Sport,Position,Symbol
Georges Niang,NBA,NBA,120.6,,,,,,,
Jalen Wilson,NBA,NBA,119.7,,,,,,,
Taurean Prince,NBA,NBA,119.6,,,,,,,
Jabari Smith Jr.,NBA,NBA,118.1,,,,,,,
Jeremy Sochan,NBA,NBA,116.7,,,,,,,
Moses Moody,NBA,NBA,116.3,,,,,,,
Luke Kennard,NBA,NBA,115.9,,,,,,,
Terry Rozier,NBA,NBA,115.4,,,,,,,
Ochai Agbaji,NBA,NBA,115.1,,,,,,,
Jose Alvarado,NBA,NBA,115,,,,,,,
Matas Buzelis,NBA,NBA,114.9,,,,,,,
Isaiah Stewart,NBA,NBA,114.9,,,,,,,
Paul George,NBA,NBA,114.7,,,,,,,
John Collins,NBA,NBA,113.6,,,,,,,
Grayson Allen,NBA,NBA,113.3,,,,,,,
Brice Sensabaugh,NBA,NBA,112.6,,,,,,,
Kyshawn George,NBA,NBA,112.5,,,,,,,
Clint Capela,NBA,NBA,112.4,,,,,,,
Justin Champagnie,NBA,NBA,109.9,,,,,,,
Ziaire Williams,NBA,NBA,109.1,,,,,,,
Jamal Shead,NBA,NBA,108.9,,,,,,,
Brandon Clarke,NBA,NBA,108.6,,,,,,,
Peyton Watson,NBA,NBA,108.4,,,,,,,
Ayo Dosunmu,NBA,NBA,108.2,,,,,,,
Jaime Jaquez Jr.,NBA,NBA,108.2,,,,,,,
Dalton Knecht,NBA,NBA,107.6,,,,,,,
Nathan MacKinnon,NHL,NHL,309.6,,,,,,,
Leon Draisaitl,NHL,NHL,289.2,,,,,,,
Sidney Crosby,NHL,NHL,283.8,,,,,,,
Auston Matthews,NHL,NHL,265,,,,,,,
Vincent Trocheck,NHL,NHL,259.7,,,,,,,
Mark Scheifele,NHL,NHL,254.3,,,,,,,
Nick Suzuki,NHL,NHL,252.5,,,,,,,
David Pastrnak,NHL,NHL,252.3,,,,,,,
Nikita Kucherov,NHL,NHL,251,,,,,,,
Nico Hischier,NHL,NHL,249.9,,,,,,,
John Tavares,NHL,NHL,247.3,,,,,,,
Jack Eichel,NHL,NHL,241.2,,,,,,,
Cale Makar,NHL,NHL,240.7,,,,,,,
Dylan Larkin,NHL,NHL,238.2,,,,,,,
